gameframe,playerId,event,buildingType,buildingId,x,y
15820,1,construction_site_created,Quarry,0,27,61
15842,1,constructed,Barracks,5960,32,28
15973,1,constructed,Guardhouse,5969,33,44
16020,1,construction_site_created,Woodcutter,0,31,30
16090,1,constructed,Woodcutter,5980,32,33
16420,1,construction_site_created,Guardhouse,0,29,56
16440,1,construction_site_cancelled,Guardhouse,0,29,56
16620,1,destroyed,Watchtower,4957,21,38
16660,1,construction_site_created,Storehouse,0,34,43
16720,1,construction_site_created,Barracks,0,40,44
16903,1,constructed,Fishery,6088,11,26
16920,1,construction_site_created,Barracks,0,36,22
17087,1,constructed,Barracks,6117,34,33
17581,1,constructed,Barracks,6169,13,79
17620,1,construction_site_created,Barracks,0,30,56
17770,1,constructed,Quarry,6185,27,61
17935,1,constructed,Hunter,6203,15,74
17988,1,constructed,Woodcutter,6210,16,21
18021,1,constructed,Fishery,6214,12,78
18106,1,constructed,Guardhouse,6225,13,21
18380,1,construction_site_created,Watchtower,0,16,84
18420,1,construction_site_created,Fishery,0,12,84
18780,1,constructed,Woodcutter,6305,31,30
18959,1,constructed,Barracks,6315,31,76
19100,1,construction_site_created,Guardhouse,0,21,20
19140,1,destroyed,Hunter,4566,16,55
19160,1,construction_site_created,Quarry,0,15,28
19220,1,construction_site_created,Fishery,0,11,20
19220,1,construction_site_created,Farm,0,28,54
19420,1,construction_site_created,Fishery,0,13,14
19420,1,construction_site_created,CoalMine,0,8,38
19559,1,constructed,Sawmill,6477,33,30
19570,1,constructed,Woodcutter,6482,28,76
19592,1,constructed,Barracks,6486,40,44
19620,1,construction_site_created,Fishery,0,18,15
19680,1,construction_site_created,Watchtower,0,17,16
19751,1,constructed,Barracks,6521,30,56
19860,1,construction_site_created,Storehouse,0,32,77
19900,1,construction_site_created,Barracks,0,34,82
19960,1,construction_site_created,Hunter,0,32,75
20020,1,construction_site_created,Guardhouse,0,29,62
20040,1,construction_site_cancelled,Guardhouse,0,29,62
20220,1,destroyed,Barracks,5456,28,35
20524,1,constructed,Storehouse,6618,12,74
20533,1,constructed,Storehouse,6622,13,29
20815,1,constructed,Sawmill,6655,29,74
20838,1,constructed,Barracks,6661,36,22
20840,1,construction_site_created,Guardhouse,0,35,57
20860,1,construction_site_created,Barracks,0,43,50
20880,1,constructed,Storehouse,6683,34,43
21020,1,construction_site_created,Sawmill,0,15,16
21058,1,constructed,Fishery,6736,12,84
21220,1,construction_site_created,Sawmill,0,43,45
21220,1,construction_site_created,Woodcutter,0,14,84
21220,1,construction_site_created,Forester,0,35,29
21220,1,construction_site_created,Barracks,0,28,81
21420,1,construction_site_created,Woodcutter,0,38,26
21620,1,construction_site_created,Woodcutter,0,31,79
21680,1,destroyed,Woodcutter,5183,25,55
21820,1,construction_site_created,Woodcutter,0,12,81
22000,1,construction_site_created,Guardhouse,0,42,21
22020,1,construction_site_created,Woodcutter,0,18,18
22198,1,constructed,Fishery,7006,18,15
23057,1,constructed,CoalMine,7144,8,38
23060,1,constructed,Quarry,7147,15,28
