gameframe,playerId,event,buildingType,buildingId,x,y
17845,1,constructed,Woodcutter,6006,27,75
18300,1,construction_site_created,Storehouse,0,29,76
18590,1,constructed,Woodcutter,6068,11,58
18851,1,constructed,Woodcutter,6081,19,62
18875,1,constructed,Quarry,6086,27,61
19091,1,constructed,Woodcutter,6101,31,45
19166,1,constructed,Hunter,6111,27,53
19578,1,constructed,Hunter,6139,30,31
20020,1,destroyed,Barracks,4397,18,45
20773,1,constructed,Sawmill,6249,30,72
21100,1,destroyed,Woodcutter,5254,14,35
21148,1,constructed,Woodcutter,6274,31,27
21220,1,construction_site_created,Woodcutter,0,34,80
21400,1,destroyed,Woodcutter,4786,24,61
21420,1,construction_site_created,Woodcutter,0,35,56
22200,1,destroyed,Woodcutter,5347,25,70
22427,1,constructed,Guardhouse,6404,36,23
22540,1,destroyed,Woodcutter,5101,26,54
22740,1,destroyed,Hunter,4495,16,55
22749,1,constructed,Sawmill,6430,35,25
22763,1,constructed,Storehouse,6435,33,28
23540,1,construction_site_created,Barracks,0,44,22
23551,1,constructed,Woodcutter,6514,35,56
23600,1,construction_site_created,Fishery,0,42,19
23600,1,destroyed,Woodcutter,5288,27,65
23620,1,construction_site_created,Woodcutter,0,29,21
23741,1,constructed,Woodcutter,6570,34,80
23820,1,construction_site_created,Woodcutter,0,40,26
24566,1,constructed,Storehouse,6648,29,76
24580,1,destroyed,Woodcutter,5696,30,33
24620,1,construction_site_created,Woodcutter,0,36,35
24620,1,construction_site_created,Hunter,0,30,78
24880,1,destroyed,Woodcutter,5872,24,49
25420,1,construction_site_created,Woodcutter,0,12,64
25640,1,destroyed,Woodcutter,6274,31,27
25940,1,destroyed,Woodcutter,5285,27,58
26420,1,construction_site_created,GoldMine,0,8,64
26420,1,construction_site_created,IronMine,0,35,18
26420,1,construction_site_created,CoalMine,0,8,38
26620,1,construction_site_created,Ironsmelter,0,42,22
26637,1,constructed,Woodcutter,6923,36,35
26820,1,construction_site_created,Mint,0,41,24
26820,1,construction_site_created,Barracks,0,32,81
26860,1,destroyed,Woodcutter,6101,31,45
27593,1,constructed,Woodcutter,7065,12,64
27982,1,constructed,Hunter,7124,30,78
28160,1,destroyed,Woodcutter,6514,35,56
28640,1,destroyed,Woodcutter,6006,27,75
28790,1,constructed,Barracks,7199,32,81
28843,1,constructed,Woodcutter,7210,40,26
29137,1,constructed,Barracks,7260,44,22
29505,1,constructed,Woodcutter,7320,29,21
29629,1,constructed,IronMine,7339,35,18
29740,1,construction_site_created,Barracks,0,36,86
29749,1,constructed,GoldMine,7359,8,64
29950,1,constructed,Fishery,7406,42,19
