gameframe,playerId,event,buildingType,buildingId,x,y
14972,1,constructed,Barracks,5811,33,41
15020,1,construction_site_created,Sawmill,0,29,74
15077,1,constructed,CoalMine,5825,20,32
15200,1,construction_site_created,Barracks,0,14,78
15200,1,construction_site_created,Barracks,0,32,28
15220,1,construction_site_created,Woodcutter,0,25,37
15220,1,construction_site_created,Fishery,0,12,78
15220,1,construction_site_created,Quarry,0,26,57
15247,1,constructed,Hunter,5894,31,45
15420,1,construction_site_created,Woodcutter,0,28,76
15840,1,construction_site_created,Barracks,0,37,35
15920,1,destroyed,Woodcutter,4771,21,58
16020,1,construction_site_created,Woodcutter,0,16,21
16612,1,constructed,Guardhouse,6053,35,57
16639,1,constructed,Sawmill,6058,34,43
16969,1,constructed,Woodcutter,6093,25,37
17021,1,constructed,Barracks,6097,31,76
17220,1,construction_site_created,Guardhouse,0,26,76
17480,1,construction_site_created,Barracks,0,42,57
17612,1,constructed,Quarry,6172,26,57
17727,1,constructed,Fishery,6185,11,26
17900,1,construction_site_created,Barracks,0,34,82
18396,1,constructed,Barracks,6256,32,28
18524,1,constructed,Hunter,6269,25,70
18620,1,construction_site_created,Guardhouse,0,39,49
18710,1,constructed,Barracks,6308,14,78
18799,1,constructed,Guardhouse,6315,13,21
18820,1,construction_site_created,Sawmill,0,37,59
18963,1,constructed,Woodcutter,6339,28,76
19020,1,construction_site_created,Woodcutter,0,32,32
19020,1,construction_site_created,Forester,0,29,57
19040,1,construction_site_cancelled,Forester,0,29,57
19040,1,construction_site_created,Guardhouse,0,38,43
19129,1,constructed,Fishery,6375,12,78
19220,1,construction_site_created,Woodcutter,0,31,79
19220,1,construction_site_created,Forester,0,26,63
19240,1,construction_site_created,Storehouse,0,33,27
19280,1,construction_site_created,Barracks,0,36,22
19311,1,constructed,Barracks,6420,37,35
19500,1,construction_site_created,Storehouse,0,13,80
19540,1,construction_site_created,Watchtower,0,16,84
19600,1,construction_site_created,Fishery,0,13,84
19740,1,construction_site_created,Barracks,0,21,20
19800,1,construction_site_created,Fishery,0,11,20
19820,1,construction_site_created,Fishery,0,13,14
20020,1,destroyed,Barracks,5735,28,35
20020,1,construction_site_created,Fishery,0,18,15
20080,1,destroyed,Hunter,4569,16,55
20166,1,constructed,Sawmill,6574,29,74
20232,1,constructed,Barracks,6582,42,57
20244,1,constructed,Storehouse,6584,29,72
20274,1,constructed,Woodcutter,6587,16,21
20312,1,constructed,Storehouse,6594,13,29
20420,1,destroyed,Woodcutter,5590,32,43
20620,1,construction_site_created,Woodcutter,0,13,82
20700,1,destroyed,Woodcutter,5265,25,55
